# x (km)              y (km)
 31361.840329238203  60811.133287422148
 31036.564276672525  60702.391864299592
 30709.052294995821  60589.276448378951
 30379.303781599581  60471.747450509596
 30047.318060867270  60349.764284220568
 29713.094387269870  60223.285334109998
 29376.631948666065  60092.267922856161
 29037.929869824507  59956.668276776902
 28696.987216186943  59816.441489859368
 28353.802997892704  59671.541486177208
 28008.376174086530  59521.920980606490
 27660.705657533876  59367.531437746547
 27310.790319569383  59208.323028944673
 26958.628995407096  59044.244587317953
 26604.220489842632  58875.243560657073
 26247.563583381074  58701.265962090278
 25888.657038826372  58522.256318375970
 25527.499608372062  58338.157615684308
 25164.090041236039  58148.911242717440
 24798.427091886380  57954.456931007757
 24430.509528909410  57754.732692221725
 24060.336144575744  57549.674752284089
 23687.905765165488  57339.217482123873
 23313.217262119459  57123.293324828272
 22936.269564089496  56901.832718974838
 22772.448561310044  56803.027018485933
 22392.249815556657  56573.500678843673
 22009.789480809606  56338.259634470269
 21625.066787186959  56097.226795151502
 21238.081088528634  55850.322673198985
 20848.831880956946  55597.465281143188
 20457.318823013044  55338.570023626664
 20063.541757517210  55073.549583091117
 19667.500735316651  54802.313798817217
 19269.196041101404  54524.769538838955
 18868.628221488565  54240.820564213027
 18465.798115596448  53950.367385078280
 18326.091307670642  53848.482945195232
 17920.219179604766  53549.115300751007
 17512.088076131629  53242.996456222732
 17101.700074748183  52930.014879962029
 16689.057713864735  52610.055052256095
 16274.164041601862  52282.997265590631
 15857.022669192762  51948.717411707890
 15437.637829480616  51607.086754377706
 15016.014441059113  51257.971686693032
 14592.158178671767  50901.233471583306
 14166.075550561354  50536.727964106532
 13737.773983548030  50164.305313933211
 13307.261916714058  49783.809646269794
 12874.548904686724  49395.078719283629
 12439.645731641453  48997.943555882368
 12002.564537297603  48592.228047466320
 11563.318956351606  48177.748527006639
 11121.924272992643  47754.313308503595
 10678.397592376316  47321.722189539163
 10232.758031200618  46879.765913254712
  9785.026929839991  46428.225585646571
  9335.228088857228  45966.872043574964
  8883.388033138161  45495.465168312985
  8429.536307392997  45013.753138812441
  7973.705807354559  44521.471618117386
  7515.933151695283  44018.342865499129
  7056.259100503535  43504.074765899160
  6594.729027130935  42978.359767125388
  6131.393451379437  42440.873713926034
  5666.308643379449  41891.274566531807
  5199.537309168678  41329.200989470250
  4731.149370978351  40754.270794371441
  4270.367098844855  40177.861466039882
  3799.014065195338  39576.257739855326
  3326.305083381245  38960.516809749068
  2852.349003267104  38330.154464095634
  2377.267837167560  37684.654950482036
  1901.198555641085  37023.468035376813
  1424.295175586626  36346.005705495802
   946.731197361653  35651.638456975779
   468.702460578101  34939.691108858497
    -9.569495407650  34209.438065813862
  -487.833459475725  33460.097941050080
  -965.803831688996  32690.827433419421
 -1443.154993288668  31900.714332151430
 -1919.514551095876  31088.769497597332
 -2394.455185077247  30253.917635828861
 -2899.165154047274  29336.697377483688
 -3369.543673590528  28450.671033263410
 -3836.733178444340  27537.780988714909
 -4299.954391345643  26596.472253232383
 -4758.292987434314  25625.028560075229
 -5210.670073461833  24621.549082039517
 -5655.804611629078  23583.921011390405
 -6092.165109295785  22509.787221174185
 -6517.906834726232  21396.508127188099
 -6930.789267679304  20241.116825140223
 -7328.066193347429  19040.266671632751
 -7706.337388474572  17790.170889372010
 -8061.345572426906  16486.534876794321
 -8387.694147974245  15124.484459545834
 -8678.448552346419  13698.498950228528
 -8924.564169504167  12202.370016425080
 -9114.053007241082  10629.233403051448
 -9230.755725548233   8971.776680942834
 -9252.526117626869   7222.847675555495
 -9148.589872338307   5376.949679810336
 -8875.943141868962   3433.651054337977
 -8375.399061451537   1404.916569320360
 -7570.671605354380   -670.621006615035
 -6380.869279331058  -2705.974405424242
 -4762.841507337248  -4552.874384761511
 -4141.348964714892  -5090.438357429416
 -3644.346696636901  -5469.356991099076
 -3126.364294734955  -5822.831634827548
 -2590.139796192425  -6149.549027971367
 -2038.553487423285  -6448.751335591724
 -1474.494104871450  -6720.232176643975
  -588.710219839293  -7084.527018301537
   240.571481072358  -7364.830229793285
  1068.265698439237  -7592.766814468542
  1889.370517729528  -7773.051609587053
  2700.187551994414  -7910.585518848718
  5274.161581446282  -8118.176798117646
  7322.178979505376  -8075.484200279809
  9248.468857995480  -7896.281681180633
 11063.592826701708  -7620.998247431624
 12779.782734141845  -7276.911384512317
 14408.616637195168  -6882.692817962466
 15960.315886375116  -6451.382925139372
 17443.662736958111  -5992.282468666956
 18866.132036560848  -5512.158999781361
 20234.077919555373  -5016.027697442642
 21552.916630118503  -4507.666597149993
 22827.286547896820  -3989.963555745107
 24061.181958360536  -3465.154616090618
 25258.062653915938  -2934.990889414706
 26420.943029321577  -2400.857466879917
 27552.464395738440  -1863.859537572509
 28654.953784818150  -1324.885695071028
 29730.471947963804   -784.655117043575
 30780.852725256202   -243.753170894649
 31807.735509376038    297.341403248442
 32812.592163013760    838.235518968648
 33796.749465247718   1378.605401742402
 34761.407932722999   1918.183741023764
 35707.657686055049   2456.749505017288
 36636.491895427142   2994.119803964366
 37548.818231960300   3530.143343489690
 38445.468667550485   4064.695122380396
 39327.207899908884   4597.672111824880
 40194.740627440384   5128.989714298590
 41048.717857244119   5658.578845964828
 41889.742396536552   6186.383520881798
 42718.373651356807   6712.358841461873
 43535.131835113280   7236.469319658935
 44340.501672284940   7758.687468811762
 45134.935668562401   8278.992618076518
 45918.857007247796   8797.369910769547
 46692.662122319103   9313.809455329476
 47456.722990801347   9828.305603456758
 48211.389180657578  10340.856334644273
 48956.989685066306  10851.462730039697
 49693.834569487357  11360.128521578112
 50422.216454177156  11866.859704746626
 51142.411851666140  12371.664205311097
 51854.682376054116  12874.551591940068
 52559.275838727342  13375.532827976353
 53256.427243187922  13874.620056687811
 53946.359690053687  14371.826415221985
 54629.285201890823  14867.165873228911
 55305.405476344036  15360.653092731489
 55974.912574997965  15852.303306336518
 56637.989554514934  16342.132211308402
 57294.811045823866  16830.155877389054
 57945.543786468996  17316.390666550604
 58590.347110645314  17800.853163124422
 59229.373400942917  18283.560112967258
 59862.768505379441  18764.528370509503
 60490.672122913107  19243.774852687638
 61113.218160288670  19721.316498897286
 61730.535062770068  20197.170236217276
 62342.746121049473  20671.352949253873
 62949.969756390150  21143.881454038226
 63552.319785854372  21614.772475483420
 64149.905669285203  22084.042627969233
 64866.310540273371  22649.356284537142
 65453.739159450226  23115.103809432530
 66036.728087429728  23579.282857943388
 66615.370795218376  24041.909423056259
 67189.757441134148  24502.999323776115
 67759.975033193943  24962.568198280464
 68326.107581422271  25420.631498322455
 68888.236240833692  25877.204484734470
 69446.439445775919  26332.302223900173
 70000.793036262068  26785.939585079384
 70551.370376866733  27238.131238482521
 71098.242468713201  27688.891654004226
 71641.478055035172  28138.235100534941
 72181.143720757143  28586.175645779753
 72717.303986501764  29032.727156520676
 73250.021397400167  29477.903299266556
 73779.356607051581  29921.717541240596
 74305.368456951561  30364.183151661357
 74828.114051683937  30805.313203277885
 75347.648830148930  31245.120574124187
 75864.026633079513  31683.617949461830
 76377.299767079559  32120.817823883510
 76887.519065399814  32556.732503552710
 77394.733945652508  32991.374108558062
 77898.992464650772  33424.754575363055
 78400.341370545619  33856.885659333777
 78898.826152421636  34287.778937329880
 79394.491087500792  34717.445810345016
 79887.379286093972  35145.897506184985
 80377.532734429682  35573.145082172894
 80864.992335481715  35999.199427872365
 81349.797947908097  36424.071267820094
 81831.988423207615  36847.771164260892
 82311.601641191970  37270.309519878669
 82788.674543866495  37691.696580517833
 83263.243167805165  38111.942437890102
 83735.342675101492  38531.057032262674
 84205.007382970580  38949.050155123783
 84672.270792073701  39365.931451822602
 85137.165613632154  39781.710424180754
 85599.723795392987  40196.396433072834
 86059.976546505350  40609.998700974182
 86517.954361362848  41022.526314474053
 86973.687042464226  41433.988226752816
 87427.203722340710  41844.393260022029
 87878.532884596832  42253.750107926324
